Channel Name,Channel ID
100PERCENT,UCji4MHZnUaijm2s3tpHOlJg
1theK,UCweOkPb1wVVH0Q0Tlj4a5Pw
2NE1,UCnsQjCVzmEd-YvlQZbo6zCg
4Minute Offical Youtube Channel,UC_Dm4o5UrbPr2uvM7VPUR6g
Akdong Musician (AKMU),UCIcXK1CI8URMIqNO_1cehiQ
AOA,UCHMMStnbsv13tXigCkW_sBQ
ASTRO,UCZqY2yIsAM9wh3vvMwKd27g
B1A4 OFFICIAL,UCDBLl8TPgGzAzUGaqbpwAZA
BEAST Official Youtube Channel,UCwpmEwAbLPUHH_9y8JazVnA
BIGBANG,UCzw-C7fNfs018R1FzIKnlaA
BLACKPINK,UCOmHUn--16B90oW2L6FRR3A
BTOB 비투비 (Official YouTube Channel),UCgB7A457ULlgm5c3948vr-w
cclownofficial,UCUIYRI3TLlBFVEWMbTITnkA
CLC 씨엘씨 (Official YouTube Channel),UCnOTemIK0FqCe2FHbr9mWFw
CNBLUE,UC-CVBl3-ryi3GtZBXtc2_IA
Cross Gene,UCBlc_bHXd4h_iIzjnPTREpw
Dalshabet,UCCZScmulXzGFCpnEQg7aR4w
DAY6 Japan Official,UCz9cXsCLOkkk38x9Vq3ykBA
DSP Kara,UCbxYZzVHUrv-AhR6KZzGo0A
DSPmedia,UCDXkn3VPpnQzWN6Xx3OgVQQ
fantagio,UC3Ea2-Ut3navgOlTfoq790g
FNCEnt,UCZECMCJJJE47ei170XCXgdA
GENIE MUSIC,UCd-OrgPLrnQiQBcq19j5oEQ
Golden Child,UC2EeIV6pzZDIAgp8hV_MGew
GOT7,UC8HEl74jL3bLLwfDP1OALxw
gugudan,UCAZrFlkKqpTqn8ZISJ616xg
Happyface entertainment,UCrkkpNg0J0ziftHs6-5APhA
HOLLAND,UCbbuHjMbzBn4fVd1hV77Ddw
Hunus Entertainment,UCQpdzqBK-ZGfy_RHxe_OyEQ
HYOLYN OFFICIAL,UCNJofNT5w33_mycys970x8g
ibighit,UC3IZKseVpdzPSBaWxBxundA
iKON,UCWxCyZibDIWIrGIgP25mbfw
IN2ITOFFICIAL,UC4_FlqZHf6zWPyaQpmPXChQ
Jellyfishenter,UCqEAlQNINdzjSpvCgplQrvA
jypentertainment,UCaO6TYtlC8U5ttz62hTrZgg
KARD,UC5OwlwvsVmf_lXHguB6OYFw
KONNECT Entertainment,UCHGJwrjlY6rmZJInxRmiztA
KNK,UCY-ES-QqCFC-xhRTyTsB-xw
loonatheworld,UCOJplhB0wGQWv9OuRmMT-4g
MAMAMOO,UCuhAUMLzJxlP1W7mEk0_6lA
MBK Entertainment [Official],UCgxJhO66X-95iZGe4a_ku3Q
MLD ENTERTAINMENT,UC62GnXAfqgm8Fcn_i9kiuqw
MNH Entertainment,UCDMqegj9gRka1diPqE6sdsA
MONSTA X,UCZvCP6sWj75MwpUP4LVtpNw
N.Flying,UC8vm0EzlH9mRHwnTLILpQjQ
NU'EST,UCUuyrV8JDv5UAMW2StsL-NA
Official Highlight,UCGdZ_-svzY_hPLYVSKvMFvw
Official Hyolyn,UCNJofNT5w33_mycys970x8g
Official Minx,UCYDmRVePvSpvScxIzY9mm2A
Rainbow Official,UCgHmY5dcJghV7ZI3U6rh_Wg
RealVixx,UCNEjjFoX8M3aIz416Ep90XA
SECHSKIES,UCcADqTjMyMol8B8mWm9n6rA
SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA
SEVENTEEN Japan official Youtube,UCpbTKp4B80rE2zHWvQvZpvA
SF9,UC8HNshpReWjQv1WpwzhPHjA
SMTOWN,UCEf_Bc-KVd7onSeifS3py9g
starshipTV,UCYDmx2Sfpnaxg488yBpZIGg
Stone Music Entertainment,UC_pwIXKXNm5KGhdEVzmY60A
Stray Kids,UC9rMiEjNaCSsebs31MRDCRA
TEEN TOP Official,UCzIrJF-paJrXpvdYpS5LnTw
TSENT2008,UCLLlKJZVbeUTzwjVM7Lx9kg
TWICE,UCzgxx_DM2Dcb9Y1spb9mUJA
TWICE JAPAN OFFICIAL YouTube Channel,UCCRb6nYKaT8tzLA8CwDdUtw
United CUBE (CUBE Entertainment Official YouTube Channel),UC3lz95UPhKJW1aS3_za6SuQ
UNIVERSAL MUSIC JAPAN,UCl2aT0nRejTCQO_LHZAftBw
UP10TION,UCPJ4MfslU2tjw1a8X-0VuVw
Weki Meki,UCCGZK5dPJk6p6x2n6obqULg
WINNER,UCayQxFAoFCvGariuQCtHRGQ
wondergirls,UCTE8ueKNA54RcO6MgXif2Tg
woolliment,UCoQIdt0bWPv3-_xuybJvTjQ
YG ENTERTAINMENT,UCQi67q4kGdmnJaRzX81uK5g
YMCent,UCKCi-iImgz7O-s-vOVgVxsg
ZEA2011,UC0hP4NCSzvRGIFrs_ZrXxWg
이호 E&F,UCOrNQBNzhXeq_CDSZFklzSQ
임팩트IMFACT,UCwqwjHeZgPP8lgjvcOTVazQ
TOMORROW X TOGETHER OFFICIAL,UCtiObj3CsEAdNU6ZPWDsddQ
Itzy,UCDhM2k2Cua-JdobAh5moMFg
Oneus,UCWTYf4xModfNsyq2NUYjF5g
Ateez,UC2e4Ukj5Pfr7cb3KpJAFBdQ
The Boyz,UCkJ1rbOrsyPfBuHNfnLPm-Q